id,pattern_name,short_name,type,wave_structure,direction,wave_point_labels,start,pt1,pt2,pt3,pt4,pt5,net_move,fibonacci_relationships
24,Impulse – Very Deep 88.6% Wave 2,IMP-W2-886,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,107.0,207.0,168.8,230.6,+130.6,W2 retraces 88.6% of W1 – deepest valid W2 (near but not equal to 100%); W3=161.8% of W1; W5=W1 [Retracement 88.6%]
25,Regular Flat – Full 100% B Retrace,R-FLAT-100B,Corrective,3-3-5,Bearish,Start / A / B / C,100.0,82.0,100.0,75.1,—,—,-24.9,B retraces 100% of A back to the start; C=138.2% of A; textbook end-of-flat B target [Retracement 100.0%]
26,Expanded Flat – 123.6% B Wave,EXP-FLAT-124,Corrective,3-3-5,Bearish,Start / A / B / C,100.0,82.0,104.2,75.1,—,—,-24.9,"B=123.6% of A, exceeding the start by 23.6% – signals expanded/running flat; C=161.8% of A [Retracement 123.6%]"
27,Expanded Flat – 138.2% B Wave,EXP-FLAT-138,Corrective,3-3-5,Bearish,Start / A / B / C,100.0,82.0,106.9,77.8,—,—,-22.2,B=138.2% of A; common expanded-flat B-wave target; C=161.8% of A [Retracement 138.2%]
28,Expanded Flat – Strong 161.8% B Wave,EXP-FLAT-162,Corrective,3-3-5,Bearish,Start / A / B / C,100.0,82.0,111.1,64.0,—,—,-36.0,B=161.8% of A – strong expanded flat with directional bias signal; C=261.8% of A [Retracement 161.8%]
29,Impulse – Short Wave 5 (61.8%),IMP-W5-618,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,138.2,238.2,200.0,238.2,+138.2,W5=61.8% of W1 (minimum W5 target); W5 stalls at the W3 high; W3 in W1-extended impulses also uses 61.8% [Extension 61.8%]
30,Zigzag – C Equals A (100%),ZZ-CA-100,Corrective,5-3-5,Bearish,Start / A / B / C,100.0,61.8,85.4,47.2,—,—,-52.8,Wave equality: C=100% of A (also W5=W1 in impulses); B retraces 61.8% of A; canonical Zigzag (#8) [Extension 100.0%]
31,Regular Flat – 123.6% C Wave,R-FLAT-124C,Corrective,3-3-5,Bearish,Start / A / B / C,100.0,82.0,99.0,76.8,—,—,-23.2,C extends to 123.6% of A; common regular-flat C target; B retraces ~94% of A [Extension 123.6%]
32,Regular Flat – 138.2% C Wave,R-FLAT-138C,Corrective,3-3-5,Bearish,Start / A / B / C,100.0,82.0,99.0,74.1,—,—,-25.9,C=138.2% of A; common regular/expanded flat C target; canonical Regular Flat (#11) [Extension 138.2%]
33,Impulse – Canonical 161.8% Wave 3,IMP-W3-162,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,138.2,238.2,200.0,261.8,+161.8,W3=161.8% of W1 – the most common W3 extension (also C=161.8% of A in expanded flats); matches Classic Impulse (#1) [Extension 161.8%]
34,Impulse – Wave 3 = 200%,IMP-W3-200,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,138.2,261.8,214.6,276.4,+176.4,"W3=200% of W1; strong trending impulse, common in crypto/commodities; W4=38.2% of W3; W5=W1 [Extension 200.0%]"
35,Impulse – Wave 3 = 261.8%,IMP-W3-262,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,138.2,300.0,238.2,300.0,+200.0,W3=261.8% of W1 (=phi squared); strongly extended third wave; W4=38.2% of W3; W5=W1 tests the W3 high; cf. #3 with shallow 23.6% W4 [Extension 261.8%]
36,Impulse – Extreme Wave 3 (300%),IMP-W3-300,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,138.2,323.6,252.8,314.6,+214.6,W3=300% of W1; extreme/parabolic extension (rare); W4=38.2% of W3; W5=W1 with truncation risk after extreme W3 [Extension 300.0%]
37,Impulse – Climax Wave 5 (423.6%),IMP-W5-424,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,138.2,238.2,200.0,461.8,+361.8,W5=423.6% of W1 (=phi cubed); rare parabolic climax move; W2=38.2%; W3=161.8% of W1 [Extension 423.6%]
38,Leading Diagonal – W3 = 61.8% of W1,LD-618,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,175.0,146.3,192.7,164.0,200.5,+100.5,Contracting diagonal: W3=61.8% of W1; W5=78.6% of W3 so W5<W3; W4 overlaps W1 territory (below 175) [Diagonal 61.8%]
39,Ending Diagonal – W5 = 78.6% of W3,ED-786,Motive,3-3-3-3-3,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,172.0,144.5,201.1,166.1,210.6,+110.6,Each impulse leg = 78.6% of the prior (W3=78.6% of W1; W5=78.6% of W3); converging structure maintained [Diagonal 78.6%]
40,Expanding Diagonal – Waves > 100%,ED-EXP-100,Motive,3-3-3-3-3,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,150.0,119.1,180.9,142.7,219.1,+119.1,Each wave = 123.6% of the prior same-direction wave (>100% expansion rule); expanding wedge [Diagonal 100.0%]
41,Expanding Ending Diagonal – W3 = 161.8%,ED-EXP-162,Motive,3-3-3-3-3,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,150.0,119.1,200.0,150.0,250.0,+150.0,W3=161.8% of W1 in an expanding ending diagonal; W4 retests the W1 high; W5=123.6% of W3 [Diagonal 161.8%]
42,Double Zigzag – Shallow 38.2% X,DZZ-X-382,Corrective,ZZ-X-ZZ,Bearish,Start / W / X / Y,100.0,67.0,79.6,46.6,—,—,-53.4,X retraces 38.2% of W (shallow connector); pattern continues lower; Y=W [X-Wave 38.2%]
43,Double Zigzag – Typical 50% X,DZZ-X-50,Corrective,ZZ-X-ZZ,Bearish,Start / W / X / Y,100.0,67.0,83.5,50.5,—,—,-49.5,X retraces 50% of W – the most common X-wave retracement; Y=W; canonical Double Zigzag (#9) [X-Wave 50.0%]
44,Double Zigzag – Deep 61.8% X,DZZ-X-618,Corrective,ZZ-X-ZZ,Bearish,Start / W / X / Y,100.0,67.0,87.4,54.4,—,—,-45.6,X retraces 61.8% of W – deepest normal X-wave; Y=W [X-Wave 61.8%]
45,Double Zigzag – Very Deep 76.4% X,DZZ-X-764,Corrective,ZZ-X-ZZ,Bearish,Start / W / X / Y,100.0,67.0,92.2,59.2,—,—,-40.8,X retraces 76.4% of W; signals a running or combination correction; Y=W [X-Wave 76.4%]
46,Complex Correction – 100% X Ceiling,DZZ-X-100,Corrective,ZZ-X-ZZ,Bearish,Start / W / X / Y,100.0,67.0,100.0,67.0,—,—,-33.0,X >= 100% of W returns to the start – ceiling that signals the complex pattern is likely complete (rare); Y=W [X-Wave 100.0%]
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
